Reward-3,Interval-3
33075.7643672197,19216.8060532826
100373.650283297,20020.3391644709
43839.4116650326,20253.8594831038
66983.2220804337,20707.5426151168
68620.043986902,21168.2397436916
50752.2741168566,21449.9924520075
55289.9603087632,21769.2374317882
74200.9792311829,22259.2537102872
64275.143924842,22648.2897307923
51100.4071849183,22909.3183312889
37813.7012563932,23044.8127215171
45779.6927137892,23249.6314601862
83013.943386698,23783.2413881015
37596.0765980364,23905.4788678354
73449.7061607586,24340.0773528611
69975.4953579026,24736.9070746441
73814.4539950967,25159.9893756824
94124.8243262608,25749.4324094481
69987.976741914,26124.3353275198
49642.5987640761,26321.9677933732
67129.3969177813,26662.0297027433
105945.440302559,27317.2645010889
48405.1981536755,27490.116416274
74651.9917542666,27873.5462970707
49390.8872151223,28047.0732399582
68717.7200720166,28372.4384146147
74374.9018061904,28737.5373304209
42897.7620355298,28849.0351627446
56275.3740349539,29063.3034351837
25231.1774653455,29033.5970323167
49824.3754869645,29193.5260973525
63295.2206791344,29453.8443766027
55918.4565259689,29654.3338625828
31517.6466905938,29668.3437334701
38738.5455121018,29736.0318064449
50921.7714075411,29892.9632108975
60699.0371001355,30119.4784600831
35631.9936375721,30159.715797145
28881.7391955965,30150.4550971338
20562.7131759211,30081.4785365495
41991.4498513403,30166.5497602266
38620.8713099773,30226.5094875298
28503.6788545687,30214.3768774385
30646.6489243926,30217.3997588858
18953.9554383538,30139.1813955487
66496.4109110423,30389.9209094487
39435.5699241163,30451.8774095492
43146.3095702189,30538.2340909143
38302.3149205028,30590.6940965196
54735.6174536377,30752.7405620036
67579.0464731108,30998.2492680776
64582.8800887835,31220.6640417247
141554.590491649,31946.54513679
84998.808015522,32293.2919529909
43284.1553075221,32364.6611955527
90727.8659263778,32741.1980002678
53229.5697458089,32872.5337165853
68415.4387435528,33098.9216466934
64301.1636522194,33296.4041910322
76085.5950329146,33565.5185988428
55405.0403562137,33702.0156098263
59467.6920724244,33862.050867358
58100.2852779629,34011.6695982877
50691.5096267427,34113.9999052107
59627.8595150411,34269.5722199048
65710.8418610591,34460.1253692451
64515.1245472452,34641.1795811608
67262.2836606612,34836.5155337326
71644.4721815208,35055.610513779
66986.4602577506,35244.5504530925
63901.9485884508,35413.1233833005
64360.2301377062,35582.4047093496
56142.400395137,35701.939567988
64997.4990898704,35871.2780623341
33641.3656309744,35858.4624736481
86869.58792481,36149.9546190833
34939.7319502137,36143.0783539193
36626.290755905,36145.8083674899
62151.5945555759,36291.9082898948
44687.3688720456,36338.8103043202
60294.8421499343,36471.8993701292
39310.6963114535,36487.583331131
29736.4942472932,36450.489435066
49975.3383879208,36524.3957134969
38051.5387611992,36532.6954039735
40351.8576571011,36553.3395242607
91446.4461181728,36848.4637532602
45590.7684071518,36895.214045527
66119.2220347974,37050.6608965338
59345.4961773715,37168.6229879668
77323.2877880415,37379.9633290198
64685.4748349481,37522.9241222446
43671.4981010626,37554.9479450509
69615.3262259847,37721.063894693
112882.402474384,38108.4934750007
59312.2579246064,38217.2307285884
52752.2690630262,38291.3890874376
47216.9995029875,38336.6967545216
55802.6660889507,38424.9087208571
69046.1935532576,38578.784524035
36547.2238681679,38568.6267207557
74892.8557092884,38749.3442779126
70293.7828684481,38905.5048649944
72907.8650873,39073.0041764344
62171.9203066788,39186.234157465
106509.393028823,39514.639810496
113340.98092511,39873.0201071689
103546.448592416,40180.6212109624
92827.5758810421,40433.7315699531
82813.6641487991,40636.5063669811
101738.141285178,40927.4665332582
91362.8021341869,41166.4965598029
102132.699361087,41454.0729881109
102845.993006646,41742.2979647237
34336.5104718519,41707.6914811122
98029.3278579796,41969.6525805395
46357.5118032488,41989.9667436075
65424.5310180797,42097.9601273609
86536.9647150404,42301.8087722585
41657.7149127449,42298.8677044068
103806.820944784,42578.4493100449
64712.2835798125,42678.6024062882
93180.992263134,42906.0906488866
107279.242561396,43194.7594915436
118874.929668616,43532.6173941198
35106.0526100902,43495.1659950797
111596.834181464,43796.5008100637
70708.3891962836,43915.0553844523
64979.897527456,44007.4450429742
39289.296083491,43986.8417724088
64199.1444303835,44074.7213491826
51454.2947143227,44106.6675542265
24921.3709696459,44023.9723103275
34509.4044038142,43983.1372549347
76322.3805939817,44121.339149546
45215.1575968666,44125.9936961304
36849.3835193864,44095.1606021611
60582.9980415593,44164.7295365046
19199.2089301349,44059.8323910996
27737.3534954283,43991.5375003228
37532.3911032201,43964.6243903349
32688.2246782178,43917.8343500356
29957.0424825283,43860.1451274426
46165.4012922657,43869.6317783267
30225.5332852484,43813.7133418796
29554.1329187018,43755.5109728054
47326.2606145315,43770.0262152515
23424.910539541,43687.6573258761
40057.3178890001,43673.0188604049
28984.3835600705,43614.0283571907
45656.2284794862,43622.1971576798
37569.996941965,43598.0848062228
47740.3580804662,43614.5223985809
18060.4558936651,43513.5181831465
27285.3049392295,43449.627579824
28909.8023607218,43392.6086573961
34128.0522970804,43356.4189841136
29396.9749279029,43302.1020811712
19976.5530289556,43211.6929763177
32582.7162867417,43170.6544562807
36697.1191793937,43145.7562436773
27729.1087686685,43086.6886288305
34818.6172594168,43055.1311045198
27408.4202543856,42995.637907371
25538.3005765727,42929.5116296028
22684.7023778693,42853.1161229925
30612.7644381589,42807.0997632751
25634.6849853311,42742.7836030581
21537.2959746214,42663.6586492206
51813.5223405094,42697.6730123852
57444.5973978521,42752.2912508499
29501.1519067519,42703.3940576983
38400.0108140166,42687.572795773
34382.6253695287,42657.1517429296
28076.0323752976,42603.9359788141
27453.0209146068,42548.841742217
8248.0296711603,42424.5634376118
27653.6589638058,42371.2388727243
18199.7898949374,42284.2912145309
21863.4198142822,42211.0981270748
7511.4902786379,42087.1709561875
28276.6232425616,42038.0230995554
18265.990666256,41953.7251122032
16822.0169946226,41864.9204898796
8366.1502181069,41746.9670734297
21920.6172382719,41677.4009336573
19533.0850867296,41599.9732558708
30303.664045128,41560.613293464
20825.3756647696,41488.6159405866
18750.1466093845,41409.9361159111
20796.4826956071,41338.855242048
26137.0823077105,41286.6154725142
31544.2719374328,41253.2512823256
45895.2465652208,41269.0942696392
25680.1135162564,41216.0705255801
20050.0289739313,41144.3212321846
21019.3329260815,41076.3314068262
33857.0542956545,41052.0240764855
